"class","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"shrub",10,9,96,-2966.20070595216,91652.1170061987,30.8983745874747,-30.897924020335
"open_treed",47,38,495,-5928.26207756581,177733.063220374,18.9487913433678,-11.9762870253855
"dense_treed",31,15,148,-1132.47900500958,38042.5998883478,16.0326103252149,-7.65188516898362
