"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
2,29,29,6,23.0344827586207,0.202999999999999,4.5331409102859,0.77375401767268,0.163343726611082,0.156315203802962,0.75
3,31,31,31,25.6129032258065,0.138000000000002,10.2136678696159,3.38799978551047,0.330590858406018,0.329473157084384,0.75
4,31,31,30,23.5806451612903,0.0760000000000005,6.94166786961597,1.56371757458254,0.224594083639548,0.223924769987612,0.75
5,32,32,32,29.40625,0.088000000000001,13.444431349281,5.66482044704779,0.4207441490624,0.420138479665031,0.75
30,29,29,29,23.7586206896552,0.207000000000001,-29.0548590897141,29.2136605076946,1.00367704153956,-1.00189169274876,0.75
31,29,29,29,31.4827586206897,0.102,-27.2278590897141,25.5827072623905,0.939234964954338,-0.938891692748761,0.75
32,24,24,24,26.375,0.141999999999999,-23.4816764880393,23.0086704453724,0.979129512317198,-0.978403187001637,0.75
33,29,29,29,25.4137931034483,0.241,-27.7478590897141,26.624997243539,0.958177099092585,-0.956822727231521,0.75
34,26,26,26,25.2692307692308,0.173000000000002,-25.9361495287092,25.9035493990601,0.998143457375899,-0.997544212642662,0.75
35,27,27,27,23.4444444444444,0.0920000000000023,-25.7963860490442,24.6657972293082,0.955797073405194,-0.955421705520155,0.75
36,29,29,29,25.7586206896552,0.129999999999999,-25.1898590897142,21.9095032055054,0.869195093482854,-0.868615830679799,0.75
37,27,27,27,25.4814814814815,0.0970000000000013,-24.5873860490442,22.4085163231383,0.911013199138806,-0.910643927742378,0.75
38,31,31,31,23.8709677419355,0.125999999999998,-31.5593321303841,32.1577071134159,1.01850154185222,-1.01804297194787,0.75
39,23,23,23,21.5217391304348,0.137999999999998,-14.4384399677043,9.11033768265216,0.629366060712032,-0.627758259465403,0.75
40,29,29,29,24.8965517241379,0.0940000000000012,-25.9418590897141,23.2198429320891,0.894809610496867,-0.894546865162557,0.75
41,30,30,30,29.4,0.0839999999999996,-32.4690956100491,35.1545155244837,1.08250505040367,-1.08230318700164,0.75
42,31,31,31,30.1290322580645,0.140000000000001,-28.760332130384,26.7156000725806,0.928328363634553,-0.927752649367226,0.75
43,0,0,0,NA,NA,0,0,NA,NA,0.75
44,29,29,29,26.7931034482759,0.233000000000001,-29.5188590897142,30.1517539985655,1.01966448164234,-1.01789169274876,0.75
45,27,27,27,20.7777777777778,0.253,-22.2403860490442,18.4391430966859,0.826396530609357,-0.823718001816452,0.75
46,26,26,26,21.7307692307692,0.172000000000001,-26.6971495287092,27.4542943830099,1.02758668702282,-1.02681344341189,0.75
47,30,30,30,23.3333333333333,0.0910000000000011,-28.793095610049,27.6492046269808,0.960020913435064,-0.959769853668301,0.75
48,24,24,24,29.125,0.157,-47.8896764880392,95.5928864220441,1.99575472797933,-1.99540318700164,0.75
49,30,30,30,22.1666666666667,0.385000000000002,-21.6980956100491,16.0532674034277,0.731511389827656,-0.723269853668302,0.75
50,26,26,26,17.9230769230769,0.43,-26.8681495287092,28.1103222729645,1.03979144123611,-1.03339036648882,0.75
55,31,31,9,24.5806451612903,0.413,5.47266786961594,1.24180347132667,0.20014538839156,0.176537673213417,0.75
59,0,0,0,NA,NA,0,0,NA,NA,0.75
66,0,0,0,NA,NA,0,0,NA,NA,0.75
67,0,0,0,NA,NA,0,0,NA,NA,0.75
71,27,27,0,26.3703703703704,0.164999999999999,0.701613950955839,0.0608165976361431,0.047460157807538,0.0259857018872533,0.75
72,0,0,0,NA,NA,0,0,NA,NA,0.75
73,26,26,0,25.0769230769231,0.144000000000002,0.97085047129082,0.0768982937540628,0.0543840664427419,0.0373404027419546,0.75
74,29,29,2,22.551724137931,0.225999999999999,3.1471409102859,0.429649652041212,0.121718960079358,0.108522100354686,0.75
75,29,29,12,18.3793103448276,0.218,5.4571409102859,1.15923692809366,0.19993420711735,0.188177272768479,0.75
76,29,29,5,32.8620689655172,0.241,3.4701409102859,0.530351859904821,0.135233114173755,0.119660031389169,0.75
77,28,28,0,24.3214285714286,0.239999999999998,-1.94162256937913,0.224879900068657,0.0896182180276535,-0.0693436631921117,0.75
78,29,29,0,31.6551724137931,0.187999999999999,1.69414091028583,0.163135980134623,0.0750025241264042,0.0584186520788218,0.75
79,26,26,4,22.6153846153846,0.236000000000001,3.69685047129082,0.597694784887813,0.151618801463485,0.142186556588108,0.75
80,0,0,0,NA,NA,0,0,NA,NA,0.75
81,0,0,0,NA,NA,0,0,NA,NA,0.75
82,0,0,0,NA,NA,0,0,NA,NA,0.75
83,0,0,0,NA,NA,0,0,NA,NA,0.75
84,25,25,0,28.88,0.0750000000000028,1.3900869916258,0.0855490337714912,0.0584975328613066,0.055603479665032,0.75
85,29,29,3,30.3448275862069,0.207000000000001,3.41314091028592,0.469733823223013,0.127270255920906,0.11769451414779,0.75
86,28,28,0,31.8571428571429,0.137,1.92137743062083,0.163657543960682,0.0764520260314275,0.0686206225221724,0.75
87,28,28,6,22.1071428571429,0.238,4.48937743062087,0.806406775520287,0.169706340432134,0.16033490823646,0.75
88,30,30,0,25.7333333333333,0.129000000000001,-1.49809561004913,0.112433981894949,0.0612192730804467,-0.049936520334971,0.75
