"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
12,3,3,0,24.6666666666667,0.0430000000001201,0.350220970995224,0.0421175761749527,0.118487096589956,0.116740323665075,0.25
13,2,2,0,17,0.00199999999995271,0.308813980663672,0.0476850373266712,0.154410228493243,0.154406990331836,0.25
14,5,5,3,34.4,0.0750000000000455,0.992034951658752,0.200480669062514,0.200240190302803,0.19840699033175,0.25
15,6,6,0,31,0.0620000000001255,0.906441941989897,0.139762832366411,0.152623082770601,0.151073656998316,0.25
16,3,3,0,9,0.139000000000124,0.345220970995115,0.0500905062716217,0.129216235140457,0.115073656998372,0.25
17,1,1,0,8,NA,0.134406990331854,0.0180652390500671,0.134406990331854,0.134406990331854,0.25
18,5,5,0,23.2,0.128999999999905,0.382034951659307,0.0394201408578631,0.088792050159756,0.0764069903318614,0.25
19,5,5,0,26,0.153999999999996,-0.0659650483405585,0.0152454775205082,0.0552186155576328,-0.0131930096681117,0.25
20,4,4,0,27.75,0.0260000000000673,0.337627961327371,0.0289441600675181,0.0850649164866428,0.0844069903318427,0.25
21,4,4,0,29.5,0.0640000000000782,0.136627961327349,0.00682954995411989,0.0413205455981643,0.0341569903318373,0.25
22,5,5,0,32.4,0.119999999999891,0.226034951658903,0.01991115987428,0.0631049282929314,0.0452069903317806,0.25
23,3,3,0,28,0.0489999999999782,0.229220970995584,0.0188360845147188,0.0792382157689053,0.0764069903318614,0.25
24,4,4,0,29.75,0.0690000000001874,0.522627961327089,0.0706977464902404,0.132945239187269,0.130656990331772,0.25
25,3,3,0,34.6666666666667,0.0250000000000909,0.419220970995639,0.0588987408408445,0.140117499312594,0.139740323665213,0.25
26,3,3,0,28,0.0309999999999491,0.450220970995588,0.0680469742414018,0.15060652292359,0.150073656998529,0.25
27,4,4,0,32,0.0219999999999345,0.511627961327122,0.0657077927029341,0.128167656511826,0.12790699033178,0.25
56,4,4,4,22.25,0.0850000000000364,1.08162796132751,0.296453761681385,0.272237837965898,0.270406990331878,0.25
57,4,4,4,25.75,0.0570000000000164,1.19162796132719,0.356999299554198,0.298747091849527,0.297906990331796,0.25
58,2,2,2,33,0.0289999999999964,0.615813980663461,0.190033929390289,0.308248219289494,0.30790699033173,0.25
59,4,4,4,25.75,0.0119999999999436,1.48462796132731,0.551162795888717,0.371201695809945,0.371156990331826,0.25
60,2,2,0,29,0.105999999999995,0.252813980663404,0.0375754544094375,0.137068330422161,0.126406990331702,0.25
61,3,3,0,21.3333333333333,0.0199999999999818,0.369220970995002,0.0456440418074969,0.123347803395516,0.123073656998334,0.25
62,3,3,0,14.6666666666667,0.0230000000001382,0.444220970995502,0.0660420903573987,0.14837125772579,0.148073656998501,0.25
63,3,3,0,8,0.0660000000000309,-0.0497790290044122,0.00348998390954022,0.0341075940201994,-0.0165930096681374,0.25
64,3,3,0,30.6666666666667,0.0509999999999309,-0.361779029004538,0.0452660219424863,0.122835963711076,-0.120593009668179,0.25
65,4,4,2,22.5,0.0160000000000764,-0.802372038672956,0.16115022211105,0.20071760143984,-0.200593009668239,0.25
