"class","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",2,2,24,2.85876776796454,0.395766006297999,0.128414369376704,0.119115323665189
"open_treed",37,37,478,79.6175413786127,14.9742049627095,0.176993753067489,0.166563894097516
"dense_treed",26,26,326,39.0686788481687,10.3704991501263,0.17835735781368,0.119842573153892
