"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
11,13,13,0,26.1538461538462,0.183999999999969,0.0636531055606611,0.041670901372905,0.0566167285505081,0.00489639273543547
12,14,14,0,29.4285714285714,0.102000000000089,-0.568912040163468,0.0318475649602158,0.0476951367393662,-0.0406365742973906
13,16,16,0,24.9375,0.219000000000051,0.295957668384062,0.0579153713422153,0.0601640316874497,0.0184973542740039
14,12,12,0,25.6666666666667,0.0509999999999309,-0.332781748711341,0.0115383076896124,0.0310084769184336,-0.0277318123926117
15,11,11,0,24.9090909090909,0.157999999999902,-0.028216602985367,0.0197083796985034,0.0423281334537932,-0.00256514572594245
16,13,13,0,21.4615384615385,0.213999999999942,-0.527346894437642,0.078321903621003,0.0776193391945605,-0.0405651457259724
17,12,12,0,27,0.182999999999993,-0.63578174871077,0.066993785999459,0.0747182407445124,-0.0529818123925641
18,10,10,0,23.7,0.116999999999962,0.653348542740332,0.0562613318300882,0.0750075541729553,0.0653348542740332
19,13,13,10,23.4615384615385,0.220000000000027,-3.32734689443691,0.903872719686063,0.263682898089887,-0.255949761110532
20,16,16,0,26.5625,0.113000000000056,0.22695766838342,0.0202243614524006,0.0355530953754386,0.0141848542739638
21,16,16,0,28.5,0.108999999999924,0.517957668382451,0.0428644466397326,0.0517593268405153,0.0323723542739032
22,12,12,0,21.1666666666667,0.203999999999951,-0.117781748711195,0.0501222950274447,0.0646286153259818,-0.00981514572593293
23,10,10,0,25.4,0.288000000000011,0.0893485427407086,0.0529888162089985,0.0727934174283626,0.00893485427407086
24,12,12,0,21.6666666666667,0.160000000000082,-0.212781748712359,0.0371006727154446,0.0556032618313625,-0.0177318123926966
25,15,15,0,21.8666666666667,0.0989999999999327,-0.557477185890093,0.0371423208525082,0.0497609759098488,-0.0371651457260062
26,12,12,0,23.75,0.173999999999978,-0.645781748712579,0.0680750889141965,0.0753188162160229,-0.0538151457260483
27,13,13,0,26,0.152000000000044,-0.811346894438657,0.0812209063934899,0.0790427860735466,-0.0624112995722044
29,10,10,0,22.5,0.118999999999915,0.261348542739597,0.0260864060792328,0.0510748529897373,0.0261348542739597
30,18,18,0,25.8888888888889,0.212999999999965,-0.451172623067578,0.106459207544736,0.0769051390945495,-0.0250651457259765
31,11,11,0,24.9090909090909,0.252999999999929,0.226783397012923,0.0696271553782408,0.0795596719325934,0.0206166724557203
32,11,11,0,24.4545454545455,0.215999999999894,-0.437216602986609,0.0815256689024309,0.086089630302816,-0.0397469639078736
33,15,15,0,25.3333333333333,0.242999999999938,-0.228477185889233,0.104513454964753,0.0834719333927093,-0.0152318123926155
34,15,15,0,26,0.230000000000018,0.296522814109949,0.0704070519525042,0.0685113382112791,0.0197681876073299
35,11,11,0,25,0.238000000000056,0.589783397013662,0.0889198595811786,0.0899089739586042,0.0536166724557874
36,12,12,5,26.3333333333333,0.595000000000027,0.301218251287537,0.398609702909139,0.182256619200588,0.0251015209406281
37,15,15,5,26,0.690000000000055,0.880522814111373,0.615718961744715,0.20260288937471,0.0587015209407582
38,12,12,2,27.0833333333333,0.323000000000093,-0.417781748712514,0.175719382463151,0.121009428855479,-0.0348151457260428
39,11,11,0,29.6363636363636,0.0839999999998327,-0.257216602985409,0.0130522164410264,0.034446554704388,-0.0233833275441281
44,13,13,0,24.3846153846154,0.33199999999988,-0.243346894437536,0.165508900848569,0.112833744559987,-0.0187189918798105
45,10,10,1,25.1,0.442000000000007,-0.560651457259382,0.202799505652626,0.142407691383797,-0.0560651457259382
46,13,13,0,26.5384615384615,0.211999999999989,-0.4083468944375,0.071144398938198,0.0739773348544612,-0.0314112995721154
47,13,13,0,25.6923076923077,0.225000000000136,-0.400346894438371,0.076269356606663,0.0765955193541236,-0.0307959149567978
50,14,14,0,26.5714285714286,0.153999999999996,-0.885912040164612,0.0988588673506078,0.0840318253276731,-0.0632794314403295
51,14,14,0,23.1428571428571,0.227000000000089,-1.23691204016291,0.183910599650007,0.114614446748968,-0.0883508600116362
52,14,14,5,19.2857142857143,0.439000000000078,-1.70291204016303,0.462009315466618,0.181660852663618,-0.121636574297359
53,9,9,4,22.5555555555556,0.326999999999998,-1.56408631153454,0.39620199888104,0.209815262362192,-0.173787367948282
54,12,12,0,23.8333333333333,0.237999999999829,-0.509781748710793,0.0834433692765217,0.0833883331550452,-0.0424818123925661
55,12,12,0,24.5,0.185999999999922,-0.982781748711886,0.132712997133435,0.105163760049678,-0.0818984790593239
56,14,14,0,24.2857142857143,0.198000000000093,-0.870912040163148,0.109294912978727,0.0883559816791171,-0.0622080028687963
57,15,15,0,23.4,0.304000000000087,-0.742477185888447,0.125016424770979,0.0912930901989043,-0.0494984790592298
58,10,10,0,23.7,0.144999999999982,-0.750651457258527,0.0722742610284249,0.0850142699953513,-0.0750651457258527
59,10,10,0,21.3,0.240999999999985,-0.452651457260572,0.070081434176015,0.0837146547362019,-0.0452651457260572
60,13,13,0,22.2307692307692,0.13799999999992,-0.92534689443778,0.0850577596188784,0.080888222789647,-0.0711805303413677
