"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
1,11,11,11,22.5454545454545,0.260999999999967,-28.8962166029858,75.9826556333336,2.62821501184452,-2.62692878208961
2,11,11,11,23.3636363636364,0.239000000000033,-25.0182166029847,56.9554363630781,2.27547070780927,-2.27438332754406
3,12,12,12,29.3333333333333,0.243999999999915,-41.4747817487123,143.41628075861,3.45707343426259,-3.45623181239269
4,13,13,13,23.6153846153846,0.260999999999967,-35.404346894439,96.4924560785976,2.72442592511351,-2.72341129957223
5,14,14,14,17.1428571428571,0.203999999999951,-35.5569120401649,90.3626042022873,2.54056523803952,-2.53977943144035
6,13,13,13,20.6923076923077,0.145999999999958,-24.2503468944369,45.2614688077328,1.86591839230677,-1.86541129957207
