class,buffer_m,n_targets,n_targets_with_last,n_pnts_last,sum_errs_last,sum_errs_last_sq,rmse_last,bias_last
road,0.5,11,11,138,0.593869450542115,0.182846151625215,0.0364001663900895,0.0043034018155225
open_treed,0.5,43,43,542,23.285516247767,8.94580422679824,0.128472463392671,0.042962207099201
dense_treed,0.5,6,6,78,-194.331899875782,503.804753760658,2.5414632211826,-2.49143461379208
