"class","buffer_m","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"shrub",0.25,10,3,15,2.37077350429286,0.591246200577133,0.198535672794107,0.158051566952857
"open_treed",0.25,47,25,82,-48.3547048431991,52.5373730301573,0.800437174985944,-0.589691522478037
"dense_treed",0.25,31,4,7,7.27942763533668,7.85826752830049,1.05953274932872,1.03991823361953
