"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
51,0,0,0,NA,NA,0,0,NA,NA,0.25
52,0,0,0,NA,NA,0,0,NA,NA,0.25
53,0,0,0,NA,NA,0,0,NA,NA,0.25
54,5,5,0,15,0.117999999999995,0.445591168097614,0.0493070978173188,0.0993046804710823,0.0891182336195229,0.25
56,0,0,0,NA,NA,0,0,NA,NA,0.25
57,0,0,0,NA,NA,0,0,NA,NA,0.25
58,0,0,0,NA,NA,0,0,NA,NA,0.25
60,5,5,0,30.6,0.146000000000001,0.514591168097628,0.069714814056816,0.118080323557158,0.102918233619526,0.25
61,5,5,3,20.4,0.298000000000002,1.41059116809761,0.472224288702998,0.307318820999625,0.282118233619523,0.25
65,0,0,0,NA,NA,0,0,NA,NA,0.25
