"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
12,25,25,0,24.8,0.131000000000085,2.95553431265648,0.376513322931585,0.122721362921308,0.118221372506259,0.75
13,26,26,10,33,0.336999999999989,3.97975568516404,0.861104742830618,0.181987398425806,0.153067526352463,0.75
14,31,31,19,27.6129032258065,0.231999999999971,7.0898625476932,1.76995848210264,0.238946510555264,0.228705243473974,0.75
15,30,30,13,28.0666666666667,0.252999999999929,5.86364117518588,1.26225162771116,0.205122047223205,0.195454705839529,0.75
16,26,26,5,16.8076923076923,0.216000000000122,3.97375568516236,0.694162086359996,0.163396884251435,0.152836757121629,0.75
17,32,32,8,31.34375,0.30600000000004,3.76808392020416,0.725293732178179,0.150550420559253,0.11775262250638,0.75
18,26,26,6,24.3076923076923,0.275000000000091,3.19275568516446,0.562483302505786,0.147084918238749,0.122798295583248,0.75
19,30,30,0,33.1333333333333,0.301000000000158,0.479641175192,0.257761888564675,0.0926933813826846,0.0159880391730667,0.75
20,29,29,7,27.6896551724138,0.243000000000166,4.52741980268252,0.847234071369745,0.170923866028905,0.156117924230432,0.75
21,30,30,3,31.9333333333333,0.338999999999942,1.59864117518896,0.364772320233514,0.110268206392945,0.0532880391729653,0.75
22,28,28,4,32.25,0.264000000000124,2.88419843017618,0.457347592308236,0.127803922406306,0.103007086792007,0.75
23,26,26,5,29.0384615384615,0.283000000000129,3.32075568516439,0.598297973867339,0.151695288434939,0.127721372506323,0.75
24,30,30,11,33.6,0.253999999999905,5.27364117518846,1.09696040815472,0.191220676022471,0.175788039172949,0.75
25,29,29,25,23.0344827586207,0.207000000000107,7.21141980268249,1.86246239898353,0.253422258975528,0.248669648368362,0.75
26,28,28,10,27.4285714285714,0.375999999999976,5.40219843017758,1.18292842425041,0.20554182961925,0.192935658220628,0.75
27,27,27,13,27.8518518518519,0.2349999999999,5.45197705766896,1.20162051249443,0.210960810165584,0.201925076209961,0.75
56,25,25,25,27.36,0.203999999999951,8.964534312659,3.3093307777136,0.363831322330203,0.35858137250636,0.75
57,29,29,29,26.8965517241379,0.329000000000178,10.1004198026817,3.71580448932431,0.357954172048665,0.348290338023507,0.75
58,28,28,28,28.75,0.176999999999907,9.06819843017411,2.98489552746469,0.326501779007661,0.323864229649075,0.75
59,29,29,29,27.9310344827586,0.167999999999893,12.7164198026819,5.61144071027727,0.43988402508707,0.438497234575238,0.75
60,25,25,8,25.08,0.280999999999949,3.96753431265483,0.762737380883763,0.174669674630001,0.158701372506193,0.75
61,29,29,0,21.2068965517241,0.113000000000056,4.04941980267972,0.58993843925295,0.142627854228499,0.139635165609646,0.75
62,30,30,8,22.3666666666667,0.0670000000000073,5.67464117519057,1.08292094890562,0.189993065566932,0.189154705839686,0.75
63,27,27,0,15,0.154999999999973,-0.043022942329344,0.0457546286506008,0.041165712382372,-0.00159344230849422,0.75
64,32,32,0,27.15625,0.15300000000002,-2.66691607979919,0.271839668021624,0.092168267997591,-0.0833411274937248,0.75
65,26,26,1,31.7307692307692,0.174999999999955,-3.07724431483712,0.430111291276847,0.128618591083041,-0.118355550570658,0.75
