"class","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",34,27,323,-380.510951453446,449.043088523902,1.1790785725556,-1.17805248128002
"shrub",10,10,108,-121.220142290699,148.600589347625,1.17300101570646,-1.12240872491388
"dense_treed",15,2,18,-18.568737762695,19.2221999499854,1.03339247008163,-1.03159654237195
