"class","buffer_m","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",1,34,27,1270,-1498.00636306264,1770.18156062595,1.18061159935195,-1.17953256934066
"shrub",1,10,10,455,-522.958532478888,649.387811971915,1.1946656270178,-1.14935941204151
"dense_treed",1,15,4,96,-103.740934734373,112.691257193349,1.08345155056916,-1.08063473681639
