"class","buffer_m","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",0.75,34,27,705,-830.974613977203,981.216533612776,1.17974425261512,-1.17868739571235
"shrub",0.75,10,10,252,-288.624004249864,356.827935359731,1.18995120508159,-1.14533335019787
"dense_treed",0.75,15,3,55,-58.5314209415681,62.6126881352553,1.06696415663793,-1.06420765348306
