"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
1,11,11,11,15.0909090909091,0.297000000000025,-28.3671692552505,73.2584812323662,2.58067082949668,-2.57883356865913
2,10,10,10,13.8,0.297000000000025,-21.9592447774994,48.3095151198135,2.19794256339454,-2.19592447774994
3,13,13,13,14.5384615384615,0.372000000000071,-44.4700182107517,152.246897974199,3.42217764649487,-3.42077063159629
4,11,11,11,16.6363636363636,0.247000000000071,-29.1361692552512,77.2566180791494,2.65015639468434,-2.64874265956829
5,15,15,15,24.0666666666667,0.383000000000038,-37.2568671662514,92.6948944695799,2.48589211980434,-2.48379114441676
6,14,14,14,13.5,0.13799999999992,-25.4109426884993,46.141375737014,1.81543728964783,-1.81506733489281
