"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
1,28,28,28,23.9642857142857,0.334999999999809,-75.0523320605109,201.452568240043,2.68230024046555,-2.68044043073253,0.75
2,27,27,27,23.7037037037037,0.326999999999998,-62.1194273440617,143.159947835339,2.30265505236841,-2.30071953126154,0.75
3,28,28,28,27.9285714285714,0.379999999999882,-96.8683320605126,335.437726828062,3.46120193217442,-3.45958328787545,0.75
4,32,32,32,20.9375,0.345000000000027,-86.9999509262991,236.807667380577,2.72033814178367,-2.71874846644685,0.75
5,25,25,25,25.88,0.377999999999929,-64.3776179111705,166.072037516667,2.57737880426348,-2.57510471644682,0.75
6,28,28,28,24.1428571428571,0.241999999999962,-52.7813320605078,99.6227553600567,1.8862543700608,-1.88504757358956,0.75
