"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
7,2,2,0,22,0.0489999999999782,-0.0748094328937441,0.00399872562494073,0.0447142350093386,-0.037404716446872,0.25
8,5,5,0,22.2,0.0480000000000018,-0.283523582233556,0.0175539243365065,0.0592518764875958,-0.0567047164467112,0.25
9,2,2,0,19.5,0.0229999999999109,-0.126809432893651,0.00830481613540268,0.0644391811532498,-0.0634047164468257,0.25
10,3,3,0,23,0.00999999999999091,-0.160714149340265,0.00866234593272176,0.0537349852911545,-0.0535713831134217,0.25
28,3,3,0,21.3333333333333,0.0270000000000437,-0.149714149340525,0.00784944217092025,0.0511515466397653,-0.0499047164468417,0.25
40,3,3,0,26.6666666666667,0.0190000000000055,-0.183714149340631,0.0114309628893173,0.0617277973291269,-0.0612380497802102,0.25
41,3,3,0,24.6666666666667,0.00600000000008549,-0.222714149340163,0.0165525307721048,0.0742799451895885,-0.0742380497800544,0.25
42,4,4,0,24.25,0.02800000000002,-0.375618865787146,0.035760383083807,0.0945520796754453,-0.0939047164467866,0.25
43,3,3,0,26.3333333333333,0.0289999999999964,-0.0797141493401341,0.00253878186834036,0.0290905589973813,-0.026571383113378,0.25
48,3,3,0,21,0.0339999999998781,-0.289714149340398,0.0285887627760055,0.0976196065962255,-0.096571383113466,0.25
49,3,3,0,20,0.0150000000001,-0.249714149340434,0.0209023854602735,0.0834713233397625,-0.0832380497801447,0.25
