"class","buffer_m","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"shrub",1,10,10,340,90.3918991454262,29.5639917503438,0.294877799965979,0.265858526898312
"open_treed",1,47,40,1901,-564.247521662947,840.186335001816,0.664808783067801,-0.296816160790608
"dense_treed",1,31,9,349,83.5657258875113,53.4474439000191,0.391336860512104,0.239443340651895
