class,buffer_m,n_targets,n_targets_with_last,n_pnts_last,sum_errs_last,sum_errs_last_sq,rmse_last,bias_last
open_treed,0.5,23,0,0,0.0,0.0,,
dense_treed,0.5,93,34,351,-272.505745783739,1302.66135870414,1.9264698082851,-0.776369646107519
