"class","buffer_m","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",1,34,20,682,-763.742070255175,856.408608776993,1.12059408258007,-1.11985640799879
"shrub",1,10,10,436,-456.269880607278,520.778314512211,1.09290698391342,-1.04649055185155
"dense_treed",1,15,15,276,-250.705451317478,237.351953055435,0.927346129772347,-0.908353084483614
