"class","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",2,2,25,2.44142498684005,0.298426798654643,0.109256908002129,0.0976569994736019
"open_treed",37,37,488,72.1016751406817,12.3133905931394,0.158846963373011,0.147749334304676
"dense_treed",26,26,330,38.9355937534581,10.3000350816184,0.176669826286369,0.117986647737752
