"class","buffer_m","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",0.25,34,22,68,-79.3358609330772,92.6630201322435,1.16734376793342,-1.16670383725114
"shrub",0.25,10,8,25,-28.2573459312783,36.0799813231973,1.2013322824797,-1.13029383725113
"dense_treed",0.25,15,2,6,-6.40972302350681,6.86006170634555,1.06927247122717,-1.06828717058447
