"class","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",34,22,272,-317.335443732309,370.705197267578,1.16742740873264,-1.16667442548643
"shrub",10,8,99,-111.166929887862,138.929010996898,1.18461949308755,-1.12289828169558
"dense_treed",15,2,26,-27.3887997685295,28.9528037600231,1.05525796627436,-1.05341537571267
