"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
1,8,8,8,8.25,0.259999999999998,4.65650014619079,2.78572620143436,0.590098106402058,0.582062518273849
6,9,9,9,17.4444444444444,0.233000000000001,9.86806266446463,10.8651840833112,1.09874595604419,1.09645140716274
7,1,1,1,3,NA,0.321562518273847,0.103402453158618,0.321562518273847,0.321562518273847
8,0,0,0,NA,NA,0,0,NA,NA
9,5,5,5,7.2,0.396999999999998,3.56472602873301,2.64425113198532,0.727220892437136,0.712945205746602
10,0,0,0,NA,NA,0,0,NA,NA
11,5,5,5,11.2,0.0439999999999969,6.54972602873302,8.58103501029257,1.31004083984375,1.3099452057466
12,3,3,3,13.6666666666667,0.196999999999996,3.20923561723981,3.45313041565352,1.07286694043787,1.0697452057466
13,14,14,14,7.85714285714286,0.247999999999998,8.94643288045246,5.76525609174578,0.641719570025155,0.639030920032319
14,0,0,0,NA,NA,0,0,NA,NA
15,6,6,6,10.5,0.259,5.22147123447961,4.58184380874967,0.873865341337904,0.870245205746601
16,13,13,13,13.6153846153846,0.466999999999999,6.97368767470584,3.93764844494955,0.550359913353878,0.536437513438911
17,14,14,14,20.9285714285714,0.229999999999997,5.95743288045247,2.59421825179258,0.430466379290497,0.425530920032319
18,9,9,0,11.1111111111111,0.104999999999997,1.02870685171942,0.129898198530498,0.120137975553342,0.114300761302158
19,8,8,6,13,0.148999999999994,2.16796164597281,0.609280712301141,0.275971174287538,0.270995205746601
20,10,10,10,20.2,0.155000000000001,4.18045205746603,1.77106204047719,0.420839879345719,0.418045205746603
21,11,11,11,18.9090909090909,0.138999999999996,26.6001972632126,64.343227131075,2.41855003765545,2.41819975120115
22,12,12,11,10.9166666666667,0.161000000000001,3.15394246895926,0.849435008125406,0.266056856098686,0.262828539079939
23,14,14,14,17.8571428571429,0.325000000000003,4.62143288045245,1.63168906203765,0.341393056046802,0.330102348603747
24,5,5,5,9,0.409000000000006,3.27572602873303,2.25161340306381,0.67106086207792,0.655145205746605
25,10,10,10,21.3,0.396999999999998,6.40345205746605,4.22911422522662,0.650316401855791,0.640345205746605
26,13,13,13,19,0.210000000000001,10.9336876747059,9.23975847446268,0.843060289588914,0.841052898054297
27,12,12,12,12.25,0.289000000000001,10.3059424689592,8.90919243112477,0.861645346180046,0.858828539079935
28,12,12,12,12.25,0.289000000000001,10.4019424689592,9.07485551062817,0.869619433556435,0.866828539079937
29,7,7,7,19.4285714285714,0.872,5.82621644022622,5.56364657262318,0.891519294929662,0.832316634318031
62,14,14,1,14.1428571428571,0.344999999999999,-0.0385671195475652,0.175421744479302,0.111938039136231,-0.00275479425339751
63,16,16,2,34.625,0.218000000000004,2.15892329194566,0.338873798781595,0.145532169721507,0.134932705746604
64,10,10,0,20.2,0.198999999999998,0.66545205746602,0.0859062440785758,0.0926856213652236,0.066545205746602
68,13,13,0,18.8461538461538,0.0769999999999982,0.890687674705855,0.0703592718363787,0.0735680071751399,0.068514436515835
69,10,10,1,21.4,0.250999999999998,1.10945205746604,0.177187986781561,0.133111977966508,0.110945205746604
70,12,12,0,24.8333333333333,0.18,0.540942468959237,0.0616715628936432,0.0716888897096586,0.0450785390799364
