"class","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"shrub",10,10,107,-3312.7587436093,102566.419292159,30.9606955070758,-30.9603620898065
"open_treed",47,47,605,-9206.32743889782,279180.067812111,21.4814957007346,-15.2170701469385
"dense_treed",31,28,276,-2191.70461158845,72905.1546658837,16.2526647386905,-7.9409587376393
