"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
1,12,12,12,7.91666666666667,0.113,4.32153819760911,1.56667669944955,0.361325880087208,0.360128183134092
6,0,0,0,NA,NA,0,0,NA,NA
7,0,0,0,NA,NA,0,0,NA,NA
8,0,0,0,NA,NA,0,0,NA,NA
9,0,0,0,NA,NA,0,0,NA,NA
10,12,12,12,13.5,0.097999999999999,5.09953819760911,2.1744841524062,0.425684170131468,0.424961516467426
11,7,7,7,9.57142857142857,0.149999999999999,2.94139728193865,1.25227971002801,0.422962293156935,0.420199611705521
12,12,12,12,10.5,0.159000000000006,7.86953819760907,5.18298628696902,0.657202802728416,0.655794849800756
13,12,12,12,12.4166666666667,0.149000000000001,6.58353819760912,3.63170859994819,0.550129424162184,0.548628183134093
14,14,14,14,5.71428571428571,0.128,7.05179456387727,3.5687091122235,0.504883940852004,0.503699611705519
15,10,10,10,11.3,0.113,3.47928183134091,1.21940230618989,0.349199413829676,0.347928183134091
16,8,8,0,16.25,0.140999999999998,0.706025465072734,0.0781708696663961,0.0988501831475264,0.0882531831340918
17,10,10,5,15.8,0.261000000000003,-1.87871816865907,0.410296695724969,0.202557817850847,-0.187871816865907
18,4,4,2,22,0.123999999999995,-0.917487267463635,0.219591721489471,0.234303073757831,-0.229371816865909
19,8,8,0,16.25,0.167999999999999,-0.192974534927281,0.0259103963913002,0.0569104520181708,-0.0241218168659101
20,14,14,14,13.5714285714286,0.0910000000000011,4.34079456387725,1.35723610327045,0.311360620419297,0.310056754562661
21,14,14,14,12.7857142857143,0.0620000000000047,31.9757945638773,73.0374287850917,2.28406637358355,2.28398532599123
22,12,12,10,11.25,0.123000000000005,2.5645381976091,0.557654263916343,0.215571771481554,0.213711516467425
23,10,10,8,13.2,0.161000000000001,2.39928183134092,0.601047430620265,0.245162686928551,0.239928183134092
24,13,13,13,13.4615384615385,0.216000000000001,4.4881663807432,1.60000565086412,0.350823827239226,0.345243567749477
25,12,12,12,15.25,0.106999999999999,4.80453819760912,1.93893452435709,0.401967507430336,0.400378183134093
26,15,15,15,14.4666666666667,0.201000000000001,7.02042274701138,3.34287530311698,0.472078757773671,0.468028183134092
27,14,14,14,9.21428571428571,0.140999999999998,4.45879456387726,1.4408043544901,0.320803049781783,0.318485325991233
28,13,13,13,9.38461538461539,0.140999999999998,4.2051663807432,1.37935709921022,0.325736691588375,0.323474336980246
29,0,0,0,NA,NA,0,0,NA,NA
62,11,11,1,7,0.330000000000005,-0.240089985525007,0.0951950182863105,0.0930273753874781,-0.0218263623204552
63,15,15,0,23.5333333333333,0.113999999999997,0.915422747011394,0.0751061870497248,0.0707607174684395,0.061028183134093
64,9,9,0,18.6666666666667,0.213999999999999,-0.513346351793182,0.0683264974332627,0.0871311255989517,-0.0570384835325757
68,13,13,0,12.3846153846154,0.0600000000000023,0.117166380743207,0.00509507390588239,0.0197971907600789,0.00901279851870822
69,12,12,0,15.6666666666667,0.123000000000005,-0.542461802390896,0.044193733921099,0.0606861694300405,-0.0452051501992414
70,12,12,0,15.8333333333333,0.173999999999999,-0.286461802390903,0.0463273636857539,0.0621338365182731,-0.0238718168659086
