"class","buffer_m","n_targets","n_targets_with_last","n_pnts_last","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
"road",0.25,34,14,41,-46.5026855847861,52.8074131881966,1.13489457110209,-1.13421184353137
"shrub",0.25,10,8,26,-25.4339220169751,30.2028560297305,1.0777978979548,-0.978227769883657
"dense_treed",0.25,15,14,39,-36.5529168209783,35.2267653877271,0.950394862442504,-0.937254277460982
