"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
1,0,0,0,NA,NA,0,0,NA,NA,0.75
2,28,28,28,19.1428571428571,0.256,-33.4481454099331,40.1409019772867,1.19733188466939,-1.19457662178332,0.75
3,0,0,0,NA,NA,0,0,NA,NA,0.75
7,32,32,32,25.75,0.217999999999996,-34.503186649662,37.2773639994193,1.07931349708129,-1.07822458280194,0.75
8,29,29,29,25.9655172413793,0.280999999999999,-34.0525791745735,40.1216161531241,1.17622447061781,-1.17422686808874,0.75
15,28,28,28,25.25,0.248000000000001,-36.9011454099331,48.7432305558938,1.31940504118731,-1.31789805035475,0.75
16,27,27,27,21.5555555555556,0.210000000000001,-31.7697116452927,37.4509920750018,1.17774096496455,-1.17665598686269,0.75
17,26,26,26,33.9615384615385,0.231999999999999,-32.6112778806521,41.0587203465042,1.25665490560799,-1.25427991848662,0.75
18,21,21,21,31.3809523809524,0.212,-21.8981090574498,22.9113802996174,1.04451812311017,-1.0427670979738,0.75
59,26,26,9,36,0.222999999999999,-4.00927788065212,0.724695274011015,0.166951774935967,-0.154202995409697,0.75
